SeqNumber,temperature,iterSteps,A1,B1,E1,A2,B2,E2,Error
0,1100.0,149,196101.18944189855,1.3206070179278557,100.79321812178367,245.196063316075,0.23974890868568072,87358.9425272985,0.0001054827894647787
1,1200.0,149,2498315.9057347514,1.529637710390048,13.653648923795172,5.426832738782752e+35,0.006821028276353454,154693.0279590748,0.003082724065578009
2,1300.0,149,5492.589103621113,3.694115356399934,1.6022947605729798,4.5237697415588125e+49,4.855753664784366,313365.79965774965,0.004228272402811323
3,1400.0,149,1.6223757453772515e+19,0.0030489253856606055,3353984457.006719,1.5454837307465535e+30,1.0542774669714257,168240.07316010413,0.3207639483595418

0,1100.0,149,1.8611421252770775,8.576220203766638,85901.57600519057,1.3555478545635774e+49,0.0160897493841009,1064622.3477367368,0.00010452071379429098
1,1200.0,149,135613105166.69751,0.3255572786590746,6248.844141145151,4.033165778560974e+32,0.01471377494583613,2302150.224820437,0.01717607189345426
2,1300.0,149,7.721865207756808,5.144586984081821,219.13020705075746,1.7470113344399262e+31,2.663336894493712,153316.0988892341,0.0042272654728966715
0,1200.0,149,1.40224875755449e+43,2.66080778672334,221704.26009040044,1.2720104468176696e+41,0.1392676762762056,3125134.4784758696,0.01689565972823003
1,1300.0,149,54726146363691.914,0.004188948894096736,15015.32832430852,2.0598381300958374e+18,0.012459114308048086,3597865867.0792165,0.09917092329458344
2,1400.0,149,2.4892192648742217e+38,4.53673234509389,259546.20626768848,21237.419329875385,1.6712086085701088,1.82941309269235,1.7473626845082626e-05
3,1500.0,149,433.74449550806435,4.303555085756941,3294.833856513069,2.489493949020865e+42,3.8702499483542057,282239.54295436974,4.814440700954139e-06
4,1600.0,149,121839088.70448703,6.936864651887848e-05,623653254.0832605,27361656403125.65,0.5369746875836173,50166.32354586216,0.16042988386846022
5,1700.0,149,7.375076056691187e+33,0.009789317444924728,136808.03027510073,8100248146973.167,5.265583361055723,119106.06679714269,3.602916249218425e-05
