Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for NO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
1200,0.00183,0.00122,1.54E-16,0.000665812,1.87E-06,3.62E-08
1225,0.00183,0.00122,2.19E-16,0.000775624,2.01E-06,4.06E-08
1250,0.00183,0.00122,3.27E-16,0.000883515,2.13E-06,4.54E-08
550,0.00225,0.0015,0.002249999,0.001499874,1.25E-07,0
575,0.00225,0.0015,0.002249997,0.001499878,1.19E-07,0
600,0.00225,0.0015,0.002249993,0.001499878,1.15E-07,0
625,0.00225,0.0015,0.002249982,0.001499867,1.15E-07,0
650,0.00225,0.0015,0.002249958,0.001499835,1.23E-07,0
675,0.00225,0.0015,0.002249902,0.001499756,1.46E-07,0
700,0.00225,0.0015,0.002249776,0.001499577,1.99E-07,0
725,0.00225,0.0015,0.002249489,0.001499176,3.14E-07,0
750,0.00225,0.0015,0.002248829,0.001498272,5.60E-07,0
775,0.00225,0.0015,0.002247229,0.001496139,1.10E-06,0
800,0.00225,0.0015,0.00224291,0.001490553,2.42E-06,0
825,0.00225,0.0015,0.002227967,0.001471972,6.36E-06,2.61E-08
850,0.00225,0.0015,0.002132117,0.001364111,2.37E-05,5.68E-07
875,0.00225,0.0015,0.0012866,0.00064192,3.46E-05,1.64E-05
900,0.00225,0.0015,0.00039517,4.71E-05,4.36E-06,3.72E-05
925,0.00225,0.0015,1.74E-05,2.45E-05,1.59E-06,1.08E-05
950,0.00225,0.0015,1.79E-10,3.82E-05,6.38E-07,1.03E-05
975,0.00225,0.0015,-2.50E-11,5.49E-05,6.30E-07,9.00E-06
1000,0.00225,0.0015,1.03E-12,7.86E-05,7.22E-07,6.50E-06
1025,0.00225,0.0015,-2.34E-12,0.000111684,8.29E-07,3.68E-06
1050,0.00225,0.0015,2.41E-13,0.000157088,9.22E-07,1.54E-06
1075,0.00225,0.0015,5.66E-16,0.000217345,1.02E-06,4.46E-07
1100,0.00225,0.0015,-2.17E-14,0.000294279,1.16E-06,9.29E-08
1125,0.00225,0.0015,-4.41E-16,0.000388263,1.38E-06,3.14E-08
1150,0.00225,0.0015,9.77E-17,0.000497458,1.61E-06,2.92E-08
1175,0.00225,0.0015,1.49E-16,0.00061797,1.85E-06,3.28E-08
1200,0.00225,0.0015,2.05E-16,0.000744977,2.06E-06,3.71E-08
1225,0.00225,0.0015,3.08E-16,0.000874014,2.24E-06,4.17E-08
1250,0.00225,0.0015,4.60E-16,0.00100163,2.38E-06,4.67E-08
