Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Pressure C1 PFR PFR (C1)_(atm),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Plug flow residence time end point_(sec),Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0,0,0.15,0,25,1,1050,0.00024,1.796902,0.000105277,3.87E-14,2.34E-07,0,2.13E-10,5.45E-07,2.18E-08
0,0,0.15,0,25,1,1075,0.00024,1.797016,0.000125035,5.63E-18,2.84E-07,0,3.07E-10,5.77E-07,1.83E-08
0,0,0.15,0,25,1,1100,0.00024,1.797135,0.000146276,-1.34E-14,4.00E-07,0,4.51E-10,6.11E-07,2.03E-08
0,0,0.15,0,25,1,1125,0.00024,1.797256,0.000168125,-1.19E-17,6.00E-07,0,6.61E-10,6.40E-07,2.30E-08
0,0,0.15,0,25,1,1150,0.00024,1.797374,0.000189807,2.72E-18,9.08E-07,0,9.60E-10,6.62E-07,2.60E-08
0,0,0.15,0,25,1,1175,0.00024,1.797488,0.000210727,1.27E-18,1.36E-06,0,1.38E-09,6.76E-07,2.93E-08
0,0,0.15,0,25,1,1200,0.00024,1.797598,0.000230483,-1.02E-16,2.02E-06,0,1.96E-09,6.81E-07,3.29E-08
0,0,0.15,0,25,1,1225,0.00024,1.797704,0.000248848,1.27E-17,2.95E-06,0,2.74E-09,6.80E-07,3.67E-08
0,0,0.15,0,25,1,1250,0.00024,1.797806,0.000265751,1.93E-17,4.26E-06,0,3.80E-09,6.72E-07,4.09E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,550,0.00012,1.8,0.000199947,0.000119997,0.000206998,9.45E-05,0.000305995,4.96E-08,0
0.000306,0.000207,0.150279,9.45E-05,25,2.5,575,0.00012,1.8,0.000199927,0.000119991,0.000206996,9.45E-05,0.000305983,6.35E-08,0
0.000306,0.000207,0.150279,9.45E-05,25,2.5,600,0.00012,1.799999,0.000199854,0.00011997,0.000206987,9.45E-05,0.000305943,1.16E-07,0
0.000306,0.000207,0.150279,9.45E-05,25,2.5,625,0.00012,1.799996,0.000199502,0.00011987,0.000206953,9.44E-05,0.000305744,3.65E-07,0
0.000306,0.000207,0.150279,9.45E-05,25,2.5,650,0.00012,1.799573,0.000137127,8.26E-05,0.000207857,7.59E-05,0.00023112,4.16E-05,2.17E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,675,0.00012,1.793317,9.47E-05,1.79E-06,0.000150689,7.92E-06,1.28E-05,6.86E-05,1.05E-05
0.000306,0.000207,0.150279,9.45E-05,25,2.5,700,0.00012,1.791958,9.41E-05,6.49E-07,0.000131805,3.92E-06,5.29E-06,6.46E-05,1.04E-05
0.000306,0.000207,0.150279,9.45E-05,25,2.5,725,0.00012,1.791319,9.50E-05,2.75E-07,0.000117595,2.04E-06,2.38E-06,5.85E-05,1.02E-05
0.000306,0.000207,0.150279,9.45E-05,25,2.5,750,0.00012,1.790947,9.65E-05,1.05E-07,0.000103186,9.53E-07,9.43E-07,5.11E-05,9.80E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,775,0.00012,1.7907,9.89E-05,2.73E-08,8.55E-05,3.27E-07,2.61E-07,4.29E-05,9.21E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,800,0.00012,1.79051,0.000102881,3.02E-09,6.21E-05,5.70E-08,3.51E-08,3.40E-05,8.27E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,825,0.00012,1.790348,0.00010933,6.50E-11,3.62E-05,2.93E-09,3.40E-09,2.47E-05,6.95E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,850,0.00012,1.790246,0.000118321,4.75E-13,1.67E-05,3.60E-11,1.40E-09,1.61E-05,5.32E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,875,0.00012,1.790248,0.000128946,2.20E-13,6.69E-06,1.52E-13,6.60E-10,9.66E-06,3.55E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,900,0.00012,1.790351,0.000140659,2.41E-13,2.56E-06,1.64E-16,3.06E-10,5.74E-06,1.95E-06
0.000306,0.000207,0.150279,9.45E-05,25,2.5,925,0.00012,1.790522,0.000153668,2.37E-13,9.84E-07,1.04E-19,1.56E-10,3.64E-06,8.08E-07
0.000306,0.000207,0.150279,9.45E-05,25,2.5,950,0.00012,1.790733,0.000168107,2.09E-13,3.78E-07,-7.84E-21,9.75E-11,2.58E-06,2.29E-07
0.000306,0.000207,0.150279,9.45E-05,25,2.5,975,0.00012,1.790962,0.00018351,1.63E-13,1.43E-07,7.30E-20,8.66E-11,2.11E-06,4.87E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1000,0.00012,1.791196,0.000198975,1.08E-13,7.00E-08,2.32E-21,1.10E-10,1.93E-06,2.18E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1025,0.00012,1.791427,0.000213592,5.77E-14,7.05E-08,-6.12E-22,1.65E-10,1.85E-06,2.22E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1050,0.00012,1.791649,0.000226718,2.31E-14,1.06E-07,-5.51E-22,2.52E-10,1.77E-06,2.52E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1075,0.00012,1.79186,0.000238106,6.24E-15,1.68E-07,3.61E-24,3.82E-10,1.69E-06,2.88E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1100,0.00012,1.792061,0.000247808,8.50E-16,2.64E-07,3.30E-21,5.70E-10,1.60E-06,3.29E-08
0.000306,0.000207,0.150279,9.45E-05,25,2.5,1125,0.00012,1.792252,0.000256022,2.15E-16,4.08E-07,1.12E-25,8.39E-10,1.51E-06,3.74E-08
