Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction CO2 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
6.90E-05,0.789204,850,0.150093,3.15E-05,0.000102,1.42E-05,0.1501211,1.08E-05,6.78E-05,1.68E-06,3.26E-06,1.32E-06,9.29E-06
0.000207,0.788614,850,0.150279,9.45E-05,0.000306,1.33E-12,0.1505893,6.40E-05,1.82E-05,1.80E-12,4.30E-09,2.89E-06,1.34E-05
0,0.7895,850,0.15,0,0,0.000217785,0.1499974,0.000124588,3.57E-07,0,7.35E-08,9.11E-06,1.63E-06
0.000192,0.789218,850,0.150009,3.00E-07,8.10E-05,1.26E-05,0.1500791,1.25E-05,0.000122666,1.31E-08,2.41E-06,1.13E-06,8.51E-06
0.000576,0.788653,850,0.150027,9.00E-07,0.000243,4.36E-13,0.1506235,0.00011149,2.98E-05,2.26E-15,4.64E-09,4.26E-06,1.34E-05
0,0.7895,875,0.15,0,0,0.000142076,0.1499941,7.55E-05,8.41E-07,0,1.63E-07,7.64E-06,4.37E-06
6.90E-05,0.789204,875,0.150093,3.15E-05,0.000102,8.28E-09,0.1501687,1.98E-05,2.51E-05,1.38E-09,7.35E-09,1.10E-06,8.17E-06
0.000207,0.788614,875,0.150279,9.45E-05,0.000306,-2.93E-12,0.1505953,9.62E-05,1.26E-05,7.98E-14,3.12E-09,3.05E-06,1.32E-05
0,0.7895,875,0.15,0,0,0.000142076,0.1499941,7.55E-05,8.41E-07,0,1.63E-07,7.64E-06,4.37E-06
0.000192,0.789218,875,0.150009,3.00E-07,8.10E-05,3.01E-10,0.1501802,2.57E-05,2.86E-05,3.46E-13,5.75E-09,1.31E-06,7.25E-06
0.000576,0.788653,875,0.150027,9.00E-07,0.000243,1.38E-13,0.1506319,0.000151733,2.21E-05,1.13E-16,3.61E-09,4.37E-06,1.34E-05
0,0.7895,900,0.15,0,0,6.94E-05,0.1499906,4.01E-05,1.50E-06,0,2.51E-07,4.56E-06,6.67E-06
6.90E-05,0.789204,900,0.150093,3.15E-05,0.000102,2.74E-11,0.1501838,3.24E-05,1.11E-05,5.09E-12,2.70E-09,1.17E-06,7.57E-06
0.000207,0.788614,900,0.150279,9.45E-05,0.000306,-5.59E-13,0.1505987,0.00013257,9.45E-06,3.99E-15,2.51E-09,3.17E-06,1.29E-05
0,0.7895,900,0.15,0,0,6.94E-05,0.1499906,4.01E-05,1.50E-06,0,2.51E-07,4.56E-06,6.67E-06
0.000192,0.789218,900,0.150009,3.00E-07,8.10E-05,8.07E-13,0.1501966,4.06E-05,1.34E-05,6.55E-16,2.63E-09,1.39E-06,6.80E-06
0.000576,0.788653,900,0.150027,9.00E-07,0.000243,4.54E-14,0.1506376,0.000188928,1.67E-05,4.46E-18,2.93E-09,4.34E-06,1.26E-05
0,0.7895,925,0.15,0,0,1.57E-05,0.1499877,2.69E-05,2.10E-06,0,1.61E-07,2.45E-06,6.40E-06
6.90E-05,0.789204,925,0.150093,3.15E-05,0.000102,1.71E-13,0.1501882,4.98E-05,6.93E-06,8.05E-14,1.79E-09,1.25E-06,6.97E-06
0.000207,0.788614,925,0.150279,9.45E-05,0.000306,1.76E-11,0.1506011,0.000170014,7.17E-06,-1.14E-16,2.10E-09,3.21E-06,1.19E-05
0,0.7895,925,0.15,0,0,1.57E-05,0.1499877,2.69E-05,2.10E-06,0,1.61E-07,2.45E-06,6.40E-06
0.000192,0.789218,925,0.150009,3.00E-07,8.10E-05,1.42E-13,0.1502015,6.14E-05,8.88E-06,1.54E-17,1.81E-09,1.50E-06,6.39E-06
0.000576,0.788653,925,0.150027,9.00E-07,0.000243,1.75E-14,0.1506418,0.000222114,1.26E-05,9.92E-20,2.41E-09,4.16E-06,1.09E-05
0,0.7895,950,0.15,0,0,7.94E-07,0.1499871,3.24E-05,1.97E-06,0,1.23E-08,1.45E-06,4.94E-06
