Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction O2 end point,Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction N2O end point
675,0.00048,0.05999999,0.000199972,0.000479983,1.03E-08,0
700,0.00048,0.05999998,0.000199939,0.000479959,2.04E-08,0
725,0.00048,0.05999995,0.000199862,0.000479904,4.26E-08,0
750,0.00048,0.05999989,0.000199672,0.000479762,9.47E-08,0
775,0.00048,0.0599997,0.000199121,0.000479339,2.37E-07,0
800,0.00048,0.0599988,0.000196516,0.000477248,8.61E-07,0
825,0.00048,0.05998304,0.000157835,0.000439863,7.36E-06,4.90E-07
850,0.00048,0.05994072,8.43E-05,0.000339231,8.21E-06,3.81E-06
875,0.00048,0.05988912,2.92E-05,0.000231514,3.51E-06,7.91E-06
900,0.00048,0.05981272,1.15E-05,0.000113328,7.59E-07,5.84E-06
925,0.00048,0.05974088,1.41E-05,2.05E-05,9.97E-07,3.69E-06
950,0.00048,0.05972149,2.07E-05,3.28E-07,7.75E-07,3.31E-06
975,0.00048,0.05971681,2.93E-05,9.07E-10,4.94E-07,2.90E-06
1000,0.00048,0.05971095,4.10E-05,-2.62E-11,5.00E-07,2.28E-06
1025,0.00048,0.05970305,5.72E-05,-7.44E-14,5.39E-07,1.51E-06
1050,0.00048,0.05969265,7.84E-05,1.48E-15,5.75E-07,7.98E-07
1075,0.00048,0.05967973,0.000104544,3.89E-13,6.01E-07,3.16E-07
1100,0.00048,0.05966468,0.000134647,7.88E-17,6.28E-07,9.61E-08
1125,0.00048,0.05964824,0.000167311,3.40E-13,6.69E-07,3.62E-08
1150,0.00048,0.05963123,0.00020108,-2.03E-16,7.15E-07,2.89E-08
1175,0.00048,0.0596143,0.000234735,9.28E-17,7.56E-07,3.06E-08
1200,0.00048,0.05959792,0.00026736,2.11E-17,7.88E-07,3.36E-08
1225,0.00048,0.05958243,0.000298347,-1.81E-15,8.11E-07,3.73E-08
1250,0.00048,0.05956802,0.000327347,2.96E-13,8.23E-07,4.14E-08
550,0.0006,0.06,0.000199998,0.0006,0,0
575,0.0006,0.06,0.000199997,0.0006,0,0
600,0.0006,0.06,0.000199996,0.000599999,0,0
625,0.0006,0.06,0.000199993,0.000599997,0,0
650,0.0006,0.05999999,0.000199985,0.000599992,0,0
675,0.0006,0.05999999,0.000199969,0.00059998,1.13E-08,0
700,0.0006,0.05999998,0.00019993,0.000599953,2.28E-08,0
725,0.0006,0.05999995,0.00019984,0.000599887,4.84E-08,0
750,0.0006,0.05999987,0.000199613,0.000599718,1.09E-07,0
775,0.0006,0.05999964,0.000198942,0.000599199,2.80E-07,0
800,0.0006,0.05999845,0.000195503,0.000596417,1.09E-06,0
825,0.0006,0.05997666,0.000144377,0.000544273,8.43E-06,8.65E-07
850,0.0006,0.05992563,6.33E-05,0.000424769,6.85E-06,5.25E-06
875,0.0006,0.0598602,1.49E-05,0.000300857,1.32E-06,8.32E-06
900,0.0006,0.0597579,1.03E-05,0.00015778,5.50E-07,4.07E-06
925,0.0006,0.05966024,1.37E-05,3.30E-05,8.90E-07,2.84E-06
950,0.0006,0.05963034,2.06E-05,3.82E-07,7.88E-07,2.73E-06
975,0.0006,0.05962532,2.90E-05,3.70E-10,4.89E-07,2.54E-06
1000,0.0006,0.0596195,4.04E-05,-4.19E-13,4.89E-07,2.12E-06
1025,0.0006,0.05961176,5.61E-05,4.25E-15,5.21E-07,1.49E-06
1050,0.0006,0.05960144,7.71E-05,-2.52E-14,5.58E-07,8.18E-07
1075,0.0006,0.05958819,0.000103899,9.30E-16,5.89E-07,3.30E-07
1100,0.0006,0.05957222,0.000135828,-1.16E-11,6.25E-07,9.98E-08
1125,0.0006,0.05955427,0.000171506,2.67E-15,6.77E-07,3.64E-08
1150,0.0006,0.05953524,0.000209252,4.15E-17,7.36E-07,2.85E-08
1175,0.0006,0.05951597,0.000247527,2.02E-17,7.91E-07,3.04E-08
1200,0.0006,0.05949708,0.000285126,2.98E-15,8.36E-07,3.36E-08
1225,0.0006,0.05947899,0.000321228,4.67E-17,8.69E-07,3.74E-08
1250,0.0006,0.059462,0.000355314,6.89E-17,8.90E-07,4.15E-08
