Reactant Fraction for H2O C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction H2O end point,Mole fraction NO2 end point,Mole fraction N2O end point,Nox
0.06,1050,5.06E-12,0.000142891,0.06044098,7.09E-07,5.27E-07,0.0001436
0.06,1075,7.72E-13,0.000162919,0.06043977,7.42E-07,1.56E-07,0.000163661
0.06,1100,2.07E-13,0.000183421,0.06043814,7.63E-07,4.06E-08,0.000184183
0.06,1125,1.06E-15,0.00020391,0.06043603,7.75E-07,2.31E-08,0.000204685
0.06,1150,4.01E-14,0.000223966,0.0604334,7.80E-07,2.43E-08,0.000224746
0.06,1175,8.90E-15,0.00024327,0.06043015,7.79E-07,2.74E-08,0.000244049
0.06,1200,1.38E-14,0.000261604,0.06042618,7.72E-07,3.07E-08,0.000262377
0.06,1225,2.12E-14,0.00027884,0.06042136,7.61E-07,3.44E-08,0.000279601
0.06,1250,3.21E-14,0.000294923,0.06041555,7.46E-07,3.83E-08,0.000295669
0.08,550,0.0003,0.000199998,0.08,0,0,0.000199998
0.08,575,0.0003,0.000199997,0.08,0,0,0.000199997
0.08,600,0.000299999,0.000199996,0.08,0,0,0.000199996
0.08,625,0.000299997,0.000199993,0.08000001,0,0,0.000199993
0.08,650,0.000299992,0.000199986,0.08000001,0,0,0.000199986
0.08,675,0.00029998,0.000199969,0.08000003,1.09E-08,0,0.00019998
0.08,700,0.000299952,0.00019993,0.08000007,2.25E-08,0,0.000199952
0.08,725,0.000299882,0.000199834,0.08000018,4.92E-08,0,0.000199883
0.08,750,0.000299695,0.000199585,0.08000045,1.15E-07,0,0.000199701
0.08,775,0.000299091,0.000198809,0.08000135,3.09E-07,0,0.000199118
0.08,800,0.000295532,0.000194453,0.08000661,1.31E-06,0,0.000195765
0.08,825,0.000247588,0.000148042,0.08007714,8.60E-06,7.84E-07,0.00015664
0.08,850,0.000176044,0.0001025,0.08018262,9.71E-06,3.09E-06,0.000112212
0.08,875,0.000118165,7.88E-05,0.08026835,8.51E-06,5.07E-06,8.72672E-05
0.08,900,6.83E-05,6.79E-05,0.08034235,7.09E-06,6.18E-06,7.50336E-05
0.08,925,2.80E-05,6.74E-05,0.08040188,5.33E-06,6.12E-06,7.26881E-05
0.08,950,5.46E-06,7.62E-05,0.08043468,2.67E-06,5.06E-06,7.88781E-05
0.08,975,2.72E-07,9.11E-05,0.08044126,7.90E-07,3.61E-06,9.19395E-05
0.08,1000,2.88E-09,0.000107632,0.08044072,6.25E-07,2.24E-06,0.000108257
0.08,1025,1.72E-11,0.000125627,0.08043987,6.74E-07,1.15E-06,0.000126301
0.08,1050,-5.37E-11,0.00014497,0.08043881,7.20E-07,4.47E-07,0.00014569
0.08,1075,5.77E-13,0.00016522,0.08043736,7.53E-07,1.23E-07,0.000165972
0.08,1100,1.28E-12,0.000185865,0.08043543,7.73E-07,3.26E-08,0.000186638
0.08,1125,-1.63E-12,0.000206402,0.08043296,7.85E-07,2.17E-08,0.000207186
0.08,1150,7.58E-15,0.000226416,0.08042988,7.89E-07,2.36E-08,0.000227205
0.08,1175,1.32E-14,0.000245604,0.08042609,7.87E-07,2.67E-08,0.00024639
0.08,1200,2.06E-14,0.00026377,0.08042144,7.79E-07,3.00E-08,0.000264548
0.08,1225,3.15E-14,0.000280807,0.0804158,7.67E-07,3.35E-08,0.000281573
0.08,1250,4.77E-14,0.000296677,0.08040899,7.51E-07,3.74E-08,0.000297427
0.1,550,0.0003,0.000199998,0.1,0,0,0.000199998
0.1,575,0.0003,0.000199997,0.1,0,0,0.000199997
0.1,600,0.000299999,0.000199996,0.1,0,0,0.000199996
0.1,625,0.000299997,0.000199993,0.1,0,0,0.000199993
0.1,650,0.000299991,0.000199985,0.1,0,0,0.000199985
0.1,675,0.000299979,0.000199967,0.1,1.14E-08,0,0.000199979
0.1,700,0.000299949,0.000199925,0.1000001,2.37E-08,0,0.000199949
0.1,725,0.000299874,0.000199822,0.1000002,5.25E-08,0,0.000199875
0.1,750,0.000299671,0.000199553,0.1000005,1.24E-07,0,0.000199677
0.1,775,0.000299013,0.000198708,0.1000015,3.35E-07,0,0.000199043
0.1,800,0.000295196,0.000194047,0.1000071,1.41E-06,0,0.000195453
0.1,825,0.000249811,0.000149894,0.1000736,8.49E-06,7.30E-07,0.000158387
0.1,850,0.000181709,0.000106089,0.1001737,9.91E-06,2.89E-06,0.000115995
0.1,875,0.000125306,8.26E-05,0.100257,8.79E-06,4.79E-06,9.13781E-05
0.1,900,7.56E-05,7.12E-05,0.1003305,7.26E-06,5.89E-06,7.84989E-05
0.1,925,3.37E-05,6.96E-05,0.1003921,5.32E-06,5.88E-06,7.49609E-05
0.1,950,7.86E-06,7.73E-05,0.1004296,2.62E-06,4.88E-06,7.9963E-05
0.1,975,5.36E-07,9.17E-05,0.1004392,7.97E-07,3.47E-06,9.25445E-05
0.1,1000,8.21E-09,0.000108395,0.1004389,6.31E-07,2.11E-06,0.000109026
0.1,1025,-4.76E-11,0.000126652,0.1004379,6.81E-07,1.04E-06,0.000127333
0.1,1050,4.19E-13,0.000146254,0.1004367,7.28E-07,3.79E-07,0.000146981
0.1,1075,3.72E-13,0.000166721,0.100435,7.60E-07,9.65E-08,0.000167481
0.1,1100,-2.31E-12,0.000187506,0.1004328,7.80E-07,2.70E-08,0.000188286
0.1,1125,7.59E-15,0.000208102,0.10043,7.91E-07,2.08E-08,0.000208893
0.1,1150,1.16E-14,0.000228099,0.1004266,7.95E-07,2.30E-08,0.000228894
0.1,1175,1.79E-14,0.00024721,0.1004223,7.92E-07,2.60E-08,0.000248002
0.1,1200,3.08E-14,0.000265257,0.100417,7.83E-07,2.92E-08,0.00026604
0.1,1225,4.33E-14,0.000282149,0.1004106,7.70E-07,3.26E-08,0.000282919
0.1,1250,6.46E-14,0.000297863,0.1004029,7.54E-07,3.64E-08,0.000298617
