Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.0012,975,1.91E-16,0.000388591,1.70E-09,4.23E-06,7.08E-06
0.0012,1000,8.81E-18,0.000402401,1.55E-09,3.55E-06,4.00E-06
0.0012,1025,5.02E-17,0.000413859,1.51E-09,2.92E-06,1.85E-06
0.0012,1050,2.93E-17,0.000423319,1.60E-09,2.41E-06,6.56E-07
0.0012,1075,8.27E-18,0.00043108,1.90E-09,2.05E-06,1.75E-07
0.0012,1100,1.31E-17,0.000437421,2.51E-09,1.81E-06,4.61E-08
0.0012,1125,-3.06E-18,0.000442598,3.52E-09,1.65E-06,2.70E-08
0.0012,1150,2.44E-17,0.000446814,5.01E-09,1.51E-06,2.78E-08
0.0012,1175,6.36E-17,0.000450237,7.14E-09,1.40E-06,3.09E-08
0.0012,1200,6.97E-17,0.000453023,1.01E-08,1.30E-06,3.44E-08
0.0012,1225,1.10E-16,0.000455321,1.41E-08,1.21E-06,3.83E-08
0.0012,1250,1.71E-16,0.000457266,1.95E-08,1.12E-06,4.25E-08
