Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for O2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction O2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
950,0.4,1.48E-07,0.000158797,0.3997551,1.07E-05,6.58E-06
975,0.4,1.60E-08,0.000180422,0.3997481,6.55E-06,4.52E-06
1000,0.4,6.20E-10,0.000201551,0.3997399,4.03E-06,2.72E-06
1025,0.4,8.90E-12,0.00022203,0.3997306,3.26E-06,1.38E-06
1050,0.4,-1.18E-13,0.000242773,0.3997204,3.15E-06,5.68E-07
1075,0.4,9.59E-13,0.000264082,0.3997097,3.12E-06,1.85E-07
1100,0.4,4.01E-14,0.00028568,0.3996988,3.08E-06,5.94E-08
1125,0.4,-8.36E-15,0.000307133,0.3996878,3.02E-06,3.57E-08
1150,0.4,1.86E-14,0.000327999,0.399677,2.96E-06,3.67E-08
1175,0.4,1.70E-15,0.000347868,0.3996666,2.88E-06,4.08E-08
1200,0.4,-9.89E-15,0.000366409,0.3996567,2.80E-06,4.54E-08
1225,0.4,1.88E-18,0.00038338,0.3996475,2.71E-06,5.04E-08
1250,0.4,3.05E-18,0.000398668,0.3996388,2.61E-06,5.55E-08
550,0.5,0.000299999,0.00019998,0.5,1.95E-08,0
575,0.5,0.000299997,0.000199977,0.5,1.98E-08,0
600,0.5,0.000299992,0.00019997,0.5,2.22E-08,0
625,0.5,0.00029998,0.000199952,0.5,2.87E-08,0
650,0.5,0.000299951,0.000199908,0.5,4.47E-08,0
675,0.5,0.000299877,0.0001998,0.4999999,8.28E-08,0
700,0.5,0.000299678,0.00019952,0.4999998,1.81E-07,0
725,0.5,0.000299012,0.000198628,0.4999995,4.90E-07,0
750,0.5,0.000294394,0.000192918,0.4999968,2.44E-06,1.70E-08
775,0.5,0.000228783,0.000139352,0.4999555,1.61E-05,1.83E-06
800,0.5,0.000114329,9.82E-05,0.4998721,1.92E-05,7.97E-06
825,0.5,4.68E-05,9.36E-05,0.4998136,2.01E-05,1.17E-05
850,0.5,1.67E-05,0.000103152,0.4997814,2.12E-05,1.27E-05
875,0.5,5.40E-06,0.000117838,0.499764,2.17E-05,1.20E-05
900,0.5,1.70E-06,0.000135348,0.4997532,2.06E-05,1.04E-05
925,0.5,5.02E-07,0.000155605,0.4997448,1.75E-05,8.53E-06
950,0.5,1.09E-07,0.000178243,0.4997372,1.27E-05,6.44E-06
975,0.5,1.28E-08,0.000201772,0.4997294,7.94E-06,4.41E-06
1000,0.5,5.25E-10,0.000224272,0.4997207,4.95E-06,2.65E-06
1025,0.5,4.42E-12,0.000245379,0.499711,4.01E-06,1.34E-06
1050,0.5,1.05E-13,0.000266131,0.4997008,3.85E-06,5.47E-07
1075,0.5,2.24E-13,0.000286955,0.4996904,3.79E-06,1.75E-07
1100,0.5,-1.30E-13,0.000307636,0.4996798,3.70E-06,5.37E-08
1125,0.5,-4.97E-16,0.000327826,0.4996694,3.61E-06,3.11E-08
1150,0.5,9.23E-15,0.000347186,0.4996594,3.50E-06,3.16E-08
1175,0.5,1.54E-16,0.000365415,0.4996497,3.39E-06,3.51E-08
1200,0.5,8.36E-19,0.00038228,0.4996406,3.27E-06,3.91E-08
1225,0.5,5.25E-18,0.00039762,0.4996319,3.14E-06,4.32E-08
1250,0.5,1.83E-18,0.000411371,0.4996238,3.01E-06,4.76E-08
