Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        700.0000000000000,    0.0002430000000000000,    0.0002253579000000000,    0.0001236278000000000,   1.639892000000000E-005,   2.917760000000000E-006
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        700.0000000000000,       0.0000000000000000,    0.0002996128000000000,    0.0001993807000000000,   2.347371000000000E-007,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        725.0000000000000,    0.0003060000000000000,   9.962844000000001E-005,   4.044415000000000E-005,   1.111832000000000E-005,   1.346027000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        725.0000000000000,    0.0002430000000000000,    0.0001621309000000000,   7.744144000000000E-005,   1.396697000000000E-005,   7.143768000000000E-006
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        725.0000000000000,       0.0000000000000000,    0.0002962905000000000,    0.0001944919000000000,   1.898822000000000E-006,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        750.0000000000000,    0.0003060000000000000,   5.126085000000000E-005,   1.721116000000000E-005,   5.688474000000000E-006,   1.765910000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        750.0000000000000,    0.0002430000000000000,   8.742889000000000E-005,   2.846256000000000E-005,   7.763766000000000E-006,   1.362821000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        750.0000000000000,       0.0000000000000000,    0.0002705336000000000,    0.0001648100000000000,   8.556184000000001E-006,   4.087897000000000E-007
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        775.0000000000000,    0.0003060000000000000,   1.722432000000000E-005,   1.088224000000000E-005,   3.417086000000000E-006,   1.772831000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        775.0000000000000,    0.0002430000000000000,   1.225445000000000E-005,   1.079200000000000E-005,   2.598089000000000E-006,   1.591971000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        775.0000000000000,       0.0000000000000000,    0.0002239299000000000,    0.0001238579000000000,   1.075914000000000E-005,   1.880337000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        800.0000000000000,    0.0003060000000000000,   8.776433000000000E-008,   1.997457000000000E-005,   2.547530000000000E-006,   1.553596000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        800.0000000000000,    0.0002430000000000000,   8.551416000000000E-010,   3.443231000000000E-005,   3.353885000000000E-006,   1.329563000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        800.0000000000000,       0.0000000000000000,    0.0001508505000000000,   6.696510000000000E-005,   8.489038000000000E-006,   5.215143000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        825.0000000000000,    0.0003060000000000000,   2.095281000000000E-010,   3.840346000000000E-005,   2.749243000000000E-006,   1.394741000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        825.0000000000000,    0.0002430000000000000,   4.182219000000000E-012,   7.056468000000000E-005,   3.957159000000000E-006,   1.300055000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        825.0000000000000,       0.0000000000000000,   8.383084000000001E-008,   3.556586000000000E-005,   2.215545000000000E-006,   8.877301999999999E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        850.0000000000000,    0.0003060000000000000,   1.326517000000000E-012,   6.404822000000000E-005,   2.888836000000000E-006,   1.339335000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        850.0000000000000,    0.0002430000000000000,   4.363201000000000E-013,    0.0001114904000000000,   4.257613000000000E-006,   1.337858000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        850.0000000000000,       0.0000000000000000,   1.966168000000000E-012,   5.597604000000000E-005,   2.715088000000000E-006,   6.885470000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        875.0000000000000,    0.0003060000000000000,  -2.931567000000000E-012,   9.616311000000000E-005,   3.046958000000000E-006,   1.324878000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        875.0000000000000,    0.0002430000000000000,   1.382738000000000E-013,    0.0001517327000000000,   4.374178000000000E-006,   1.338352000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        875.0000000000000,       0.0000000000000000,   4.884141000000000E-013,   7.882600999999999E-005,   2.732170000000000E-006,   6.226924000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        900.0000000000000,    0.0003060000000000000,  -5.586768000000000E-013,    0.0001325698000000000,   3.174213000000000E-006,   1.293474000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        900.0000000000000,    0.0002430000000000000,   4.543353000000000E-014,    0.0001889281000000000,   4.335026000000000E-006,   1.257432000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        900.0000000000000,       0.0000000000000000,   1.198126000000000E-013,    0.0001044565000000000,   2.759831000000000E-006,   5.651047000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        925.0000000000000,    0.0003060000000000000,   1.760479000000000E-011,    0.0001700139000000000,   3.210356000000000E-006,   1.192700000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        925.0000000000000,    0.0002430000000000000,   1.753069000000000E-014,    0.0002221144000000000,   4.163142000000000E-006,   1.089306000000000E-005
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        925.0000000000000,       0.0000000000000000,   3.639734000000000E-014,    0.0001307449000000000,   2.753581000000000E-006,   4.869962000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        950.0000000000000,    0.0003060000000000000,   2.087266000000000E-013,    0.0002056027000000000,   3.131533000000000E-006,   1.000709000000000E-005
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        950.0000000000000,    0.0002430000000000000,   6.741320000000000E-015,    0.0002510916000000000,   3.881109000000000E-006,   8.544301999999999E-006
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        950.0000000000000,       0.0000000000000000,   1.171226000000000E-014,    0.0001563010000000000,   2.680229000000000E-006,   3.839133000000000E-006
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        975.0000000000000,    0.0003060000000000000,   1.646272000000000E-013,    0.0002376556000000000,   2.944761000000000E-006,   7.394751000000000E-006
